Date;Open;High;Low;Close;Adj Close;Volume
Oct 1. 2014;12.629;12.844;12.491;12.613;12.613;-
Sep 1. 2014;13.128;13.161;12.574;12.691;12.691;-
Aug 1. 2014;13.390;13.446;13.128;13.135;13.135;-
Jul 1. 2014;13.692;13.698;13.369;13.396;13.396;-
Jun 1. 2014;13.635;13.697;13.507;13.644;13.644;-
May 1. 2014;13.869;13.991;13.589;13.635;13.635;-
Apr 1. 2014;13.775;13.906;13.676;13.814;13.814;-
Mar 1. 2014;13.804;13.965;13.709;13.752;13.752;-
Feb 1. 2014;13.490;13.823;13.479;13.707;13.707;-
Jan 1. 2014;13.745;13.779;13.481;13.559;13.559;-
Dec 1. 2013;13.594;13.884;13.526;13.810;13.810;-
Nov 1. 2013;13.580;13.622;13.306;13.594;13.594;-
Oct 1. 2013;13.525;13.830;13.476;13.724;13.724;-
Sep 1. 2013;13.224;13.570;13.106;13.495;13.495;-
Aug 1. 2013;13.301;13.450;13.179;13.224;13.224;-
Jul 1. 2013;13.014;13.300;12.763;13.265;13.265;-
Jun 1. 2013;12.999;13.413;12.957;13.013;13.013;-
May 1. 2013;13.169;13.242;12.800;13.044;13.044;-
Apr 1. 2013;12.806;13.197;12.750;13.096;13.096;-
Mar 1. 2013;13.062;13.134;12.756;12.808;12.808;-
Feb 1. 2013;13.611;13.693;13.020;13.151;13.151;-
Jan 1. 2013;13.201;13.590;13.001;13.568;13.568;-
Dec 1. 2012;12.987;13.307;12.882;13.228;13.228;-
Nov 1. 2012;12.965;13.029;12.667;12.974;12.974;-
Oct 1. 2012;12.807;13.138;12.807;12.963;12.963;-
Sep 1. 2012;12.582;13.168;12.505;12.845;12.845;-
Aug 1. 2012;12.294;12.629;12.138;12.511;12.511;-
Jul 1. 2012;12.665;12.681;12.055;12.259;12.259;-
Jun 1. 2012;12.361;12.748;12.297;12.665;12.665;-
May 1. 2012;13.240;13.281;12.342;12.375;12.375;-
Apr 1. 2012;13.345;13.379;12.997;13.242;13.242;-
Mar 1. 2012;13.326;13.383;13.005;13.345;13.345;-
Feb 1. 2012;13.139;13.486;12.980;13.478;13.478;-
Jan 1. 2012;12.961;13.234;0.7606;13.140;13.140;-
Dec 1. 2011;13.442;13.538;12.861;12.956;12.956;-
Nov 1. 2011;13.865;13.870;13.218;13.324;13.324;-
Oct 1. 2011;13.361;14.201;13.149;14.140;14.140;-
Sep 1. 2011;14.375;14.378;13.367;13.586;13.586;-
Aug 1. 2011;14.365;14.547;14.058;14.433;14.433;-
Jul 1. 2011;14.496;14.577;13.842;14.332;14.332;-
Jun 1. 2011;14.428;14.692;14.078;14.479;14.479;-
May 1. 2011;14.821;14.938;13.976;14.322;14.322;-
Apr 1. 2011;14.160;14.882;14.065;14.821;14.821;-
Mar 1. 2011;13.827;14.248;13.745;14.121;14.121;-
Feb 1. 2011;13.715;13.860;13.432;13.734;13.734;-
Jan 1. 2011;13.356;13.756;12.877;13.573;13.573;-
Dec 1. 2010;12.995;13.494;12.977;13.301;13.301;-
Nov 1. 2010;13.938;14.282;12.973;13.104;13.104;-
Oct 1. 2010;13.623;14.148;13.621;13.778;13.778;-
Sep 1. 2010;12.686;13.677;12.647;13.628;13.628;-
Aug 1. 2010;13.040;13.330;12.592;12.666;12.666;-
Jul 1. 2010;12.232;13.107;12.199;13.040;13.040;-
